variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_win_share,cagr_win_share,group
200SMA_3in_2out_hybrid20SMA,0.1707405426249271,0.1685195222936647,0.14702078177212127,1.146229262709717,1.146229262709717,-0.16943711979705373,6.600994702653179,4.116384251669825,3.1163842516698246,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_1_150_1_200_1",0.13360283937503925,0.13405964114494257,0.13114000633647854,1.0222634944897961,1.0222634944897961,-0.19300111537023482,7.428604249313139,3.0821348535368522,2.0821348535368522,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_1_150_1_200_2",0.1348709890272708,0.1352092533366712,0.13137623727343273,1.029175870330803,1.029175870330803,-0.1924718837230604,7.40601123041948,3.113222766997394,2.113222766997394,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_1_150_2_200_1",0.1306306914411557,0.13147669500757744,0.1314715190904706,1.0000393691131177,1.0000393691131177,-0.19615862462869205,7.6615227197623925,3.010352767993863,2.010352767993863,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_1_150_2_200_2",0.1318902301959075,0.132626307199306,0.1317426461155646,1.0067074793910413,1.0067074793910413,-0.19564897771275536,7.637747384515266,3.0405891906920317,2.0405891906920317,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_2_150_1_200_1",0.1376068816594529,0.13786101383098862,0.1332095082063209,1.0349187207977921,1.0349187207977921,-0.17839964231738567,6.975977820136715,3.1812422893463785,2.1812422893463785,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_2_150_1_200_2",0.13887376576519506,0.1390106260227172,0.13347976115216612,1.0414359811765466,1.0414359811765466,-0.1778837324995343,6.949280208721767,3.213184357124505,2.213184357124505,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_2_150_2_200_1",0.13460522142727327,0.13527806769362344,0.13365959348708406,1.0121089265971455,1.0121089265971455,-0.1816514344656122,7.21515728654631,3.1066846570058444,2.1066846570058444,1.0,0.0,strategy_rollup
"set_[100, 150, 200]__x100_2_150_2_200_2",0.13586344971438336,0.13642767988535204,0.13396384029723563,1.0183918256049522,1.0183918256049522,-0.18115533133769168,7.187313403933185,3.1377463645037595,2.1377463645037595,1.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_1_200_1_250_1",0.12236006101512475,0.12414140987581504,0.1315459923177497,0.9437110754081445,0.9437110754081445,-0.22839930438884795,9.139377437776703,2.8183583496691647,1.8183583496691647,0.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_1_200_1_250_2",0.12071834819363025,0.12274300998400474,0.1320452010307303,0.9295529790245032,0.9295529790245032,-0.2326862674308752,9.206844513669957,2.78156909206214,1.7815690920621399,0.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_1_200_2_250_1",0.12355630283384578,0.12529102206754364,0.13218446550177393,0.9478498217769942,0.9478498217769942,-0.2279969447300692,9.107361780557847,2.8454366699217615,1.8454366699217615,0.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_1_200_2_250_2",0.12190991162976639,0.12389262217573331,0.13270086786402946,0.9336233000576801,0.9336233000576801,-0.23228802858577732,9.178234317335246,2.808228146429406,1.808228146429406,0.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_2_200_1_250_1",0.12630911994097027,0.12794278256186106,0.13370985262745444,0.9568687725528968,0.9568687725528968,-0.21446510668859714,8.696414366304255,2.908629894096667,1.9086298940966668,0.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_2_200_1_250_2",0.12465543236864285,0.12654438267005075,0.13424226579697196,0.9426567848715883,0.9426567848715883,-0.21885451825088473,8.756561651805942,2.8705202731693817,1.8705202731693817,0.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_2_200_2_250_1",0.12750388930895706,0.12909239475358963,0.13437547624942417,0.9606841840245596,0.9606841840245596,-0.21407733273980323,8.663153423963234,2.9364427080534345,1.9364427080534345,0.0,0.0,strategy_rollup
"set_[100, 200, 250]__x100_2_200_2_250_2",0.12584549059572847,0.12769399486177935,0.13492453537218965,0.9464104842720796,0.9464104842720796,-0.21847082849241056,8.72669448106946,2.897900357145469,1.8979003571454691,0.0,0.0,strategy_rollup
"set_[100, 200]__x100_1_200_1",0.12722676506323216,0.1282922630076573,0.1301886617439664,0.9854334570237874,0.9854334570237874,-0.21469717721835946,8.350812646855303,2.929970620269347,1.929970620269347,1.0,0.0,strategy_rollup
"set_[100, 200]__x100_1_200_2",0.12909590389544578,0.13001668129525015,0.1307018178030356,0.9947580185241347,0.9947580185241347,-0.2139626762803495,8.325600682667467,2.9738700762976,1.9738700762976,1.0,0.0,strategy_rollup
"set_[100, 200]__x100_2_200_1",0.13322804592976745,0.1339943220367263,0.1331440989203519,1.0063857363808744,1.0063857363808744,-0.19287434832181,7.644366312951691,3.0729999875138527,2.0729999875138527,1.0,0.0,strategy_rollup
"set_[100, 200]__x100_2_200_2",0.1350942385531433,0.1357187403243192,0.13373055592577168,1.0148670914046831,1.0148670914046831,-0.19217002012793588,7.604825011406749,3.11872434212486,2.11872434212486,1.0,0.0,strategy_rollup
sma100_3in_1out,0.11313031010563623,0.11564736930882429,0.12976346969860197,0.8912166850765879,0.8912166850765879,-0.20575941787272747,8.557009414764199,2.617012752555154,1.617012752555154,0.0,0.0,strategy_rollup
sma100_3in_2out,0.12527408334959333,0.12705148736696237,0.13392031314213637,0.9487096048835865,0.9487096048835865,-0.16747691908952214,7.099029940164617,2.8847249649917774,1.8847249649917774,0.0,0.0,strategy_rollup
sma100_3in_3out,0.13690410703252276,0.13778260585815855,0.13724057912955281,1.0039494640145323,1.0039494640145323,-0.1931337528914529,7.24987043756461,3.1636451159415664,2.1636451159415664,1.0,0.0,strategy_rollup
sma150_3in_1out,0.1460768689373244,0.14559439741951322,0.13553650680929416,1.0742079816500727,1.0742079816500727,-0.14906960407524242,5.76901884994268,3.4002736883406373,2.4002736883406373,1.0,0.0,strategy_rollup
sma150_3in_2out,0.13707027925288418,0.13784555900741768,0.13659783830429573,1.009134263899129,1.009134263899129,-0.15907047554798528,6.494122161471158,3.1677981698992506,2.1677981698992506,1.0,0.0,strategy_rollup
sma150_3in_3out,0.15038708077770635,0.15031146849232274,0.1424777967484089,1.0549817018699887,1.0549817018699887,-0.17517888379031635,6.530011625377323,3.516796962275465,2.516796962275465,1.0,0.0,strategy_rollup
sma200_3in_1out,0.14035529384093692,0.1409371567064903,0.13809918104923302,1.0205502714476309,1.0205502714476309,-0.22994588710733474,8.688310936641116,3.2508995288171376,2.2508995288171376,1.0,0.0,strategy_rollup
sma200_3in_2out,0.14399441671796387,0.14438599328167603,0.13998498351065145,1.0314391562627125,1.0314391562627125,-0.22877178511283233,8.580980541921111,3.345215485862783,2.345215485862783,1.0,0.0,strategy_rollup
sma200_3in_3out,0.13883841011421572,0.14108311285460057,0.14830013987449397,0.9513349951928493,0.9513349951928493,-0.2012717434529412,7.925614153695788,3.2122890806258333,2.2122890806258333,0.0,0.0,strategy_rollup
sma250_3in_1out,0.11140464776340075,0.11583970361213053,0.14246786445537601,0.8130935636254589,0.8130935636254589,-0.2581766113231914,11.066386646340954,2.5808198011530123,1.5808198011530123,0.0,0.0,strategy_rollup
sma250_3in_2out,0.10620418449642477,0.11164450393669964,0.14583897803438206,0.7655326816016158,0.7655326816016158,-0.2704791452890543,11.269934864354745,2.4744231784060786,1.4744231784060786,0.0,0.0,strategy_rollup
sma250_3in_3out,0.1107371201478542,0.11626574367974772,0.14946292874904296,0.7778901741913858,0.7778901741913858,-0.2606512505481793,11.35475896466316,2.5669392501641446,1.5669392501641446,0.0,0.0,strategy_rollup
baseline_buyhold,0.19438625049762637,0.19904367943709347,0.20620077355019018,0.9652906534254363,0.9652906534254363,-0.3094753690370491,7.52777015541682,4.925682066293784,3.925682066293784,,,baseline_rollup
