Date,A_original_cefs_ief,B_original_cefs_bil,B2_original_cefs_sgov,C_etfs_ief,D_etfs_bil,D2_etfs_sgov,E_original_cefs_6m_ief,F_original_cefs_12m_ief,G_original_cefs_3_6_12m_ief,SPY_buy_hold,CEF_equal_weight_buy_hold,ETF_equal_weight_buy_hold
2020-07-31,,,,,,,,,,0.05889205508989148,-0.0002587966263455921,0.015422441593777814
2020-08-31,,,,,,,,,,0.06979719953818209,0.03555484496248515,0.014448327351901463
2020-09-30,,,,,,,,,,-0.0374435535283314,-0.05039406702996874,-0.0522274524100608
2020-10-31,,,,,,,,,,-0.02493359874452372,0.0029175791587116306,-0.025304729559874645
2020-11-30,,,,,,,,,,0.1087765985942386,0.16856631143476974,0.12542884687274197
2020-12-31,,,,,,,,,,0.03704855050082756,0.02668093838102531,0.028985855605315358
2021-01-31,,,,,,,0.0247491669,,,-0.010190626701521821,0.024749166904336595,0.007760717821714919
2021-02-28,0.0403097071,0.0403097071,0.0403097071,0.0677641131,0.0677641131,0.0677641131,0.0403097071,,,0.027805350997640366,0.04030970711918111,0.06776411305100277
2021-03-31,0.0506554536,0.0506554536,0.0506554536,0.0256931229,0.0316299448,0.0316573006,0.0506554536,,,0.04539935824792263,0.05065545359901136,0.033076281963876575
2021-04-30,0.0539826471,0.0539826471,0.0539826471,0.036461737,0.036461737,0.036461737,0.0539826471,,,0.05291066298618374,0.05398264708492834,0.03646173703609579
2021-05-31,0.0391149536,0.0391149536,0.0391149536,0.0187964953,0.0187964953,0.0187964953,0.0391149536,,,0.006566054982565905,0.039114953641860795,0.018796495285080816
2021-06-30,0.0389855513,0.0389855513,0.0389855513,0.0236566775,0.0236566775,0.0236566775,0.0389855513,,,0.02242752778016288,0.03898555133265319,0.02365667753338807
2021-07-31,-0.0090272356,-0.0090272356,-0.0090272356,-0.0024861393,-0.0024861393,-0.0024861393,-0.0090272356,-0.0090272356,-0.0090272356,0.02441234808359183,-0.00902723559521229,-0.0024861392875123456
2021-08-31,0.0132468184,0.0132468184,0.0132468184,0.0073273439,0.0073273439,0.0073273439,0.0132468184,0.0132468184,0.0132468184,0.02975971568896907,0.013246818419595657,0.0073273439439762444
2021-09-30,-0.0388674769,-0.0388674769,-0.0388674769,-0.0052891836,-0.0052891836,-0.0052891836,-0.0388674769,-0.0388674769,-0.0388674769,-0.046605197915812524,-0.0388674769458513,-0.005289183646932871
2021-10-31,0.0697903325,0.0697903325,0.0697903325,0.0610735503,0.0610735503,0.0610735503,0.0697903325,0.0697903325,0.0697903325,0.07016345389789769,0.06979033249557226,0.06107355027759526
2021-11-30,-0.0515626005,-0.0515626005,-0.0515626005,-0.0179942363,-0.0179942363,-0.0179942363,-0.0515626005,-0.0515626005,-0.0515626005,-0.008034986713717829,-0.05156260046398517,-0.017994236328062962
2021-12-31,0.0392569305,0.0405670081,0.0405994816,0.0432669371,0.0432669371,0.0432669371,0.0373033259,0.047857536,0.047857536,0.04624800702567211,0.0478575360116999,0.043266937149694346
2022-01-31,-0.0458845837,-0.0353193726,-0.0353193726,0.0066774584,0.0066774584,0.0066774584,-0.0458845837,-0.0223697827,-0.0223697827,-0.05274130964069479,-0.022369782703841296,0.006677458384129559
2022-02-28,-0.0047784116,-0.0033673773,-0.003222791,0.0008267718,0.0015322889,0.0016045821,-0.0047784116,-0.0174006043,-0.0047784116,-0.029516979351328465,-0.017400604342320103,0.00025891314913054075
2022-03-31,0.0126803481,0.0332148164,0.03312486,-0.0071103111,0.0236913913,0.0235564567,-0.0145975453,0.0287610715,0.0126803481,0.03759030660232643,0.028761071459443815,0.04194885495121761
2022-04-30,-0.032412377,-0.0007822923,-0.0004903211,-0.0359311712,-0.0043010865,-0.0040091153,-0.0416392355,-0.0531672278,-0.0416392355,-0.08776909792943166,-0.05653762534549853,-0.04267239291700914
2022-05-31,0.0063716879,0.0034435668,0.003504554,0.0314651285,0.0285370074,0.0285979946,0.0163048974,0.0063716879,0.0163048974,0.002257213044277284,0.00738156249398586,0.032578897361331766
2022-06-30,-0.0340772607,-0.0270184629,-0.026993971,-0.0491599216,-0.0421011238,-0.0420766319,-0.0340772607,-0.0498451925,-0.0340772607,-0.08246026317075283,-0.0785686644323848,-0.0855757744690459
2022-07-31,0.0509397206,0.0289993265,0.0290961031,0.0463684966,0.0244281025,0.0245248791,0.0509397206,0.0509397206,0.0509397206,0.09208731718815,0.10187661929570435,0.07436078174324112
2022-08-31,-0.0297261765,0.0006306958,0.0007977726,-0.0222729177,0.0080839546,0.0082510314,-0.0297261765,-0.0347292025,-0.0347292025,-0.04080192582726849,-0.0331171671623996,-0.02469955093507681
2022-09-30,-0.0573257066,-0.0202635694,-0.0200297108,-0.059408453,-0.0223463157,-0.0221124571,-0.0573257066,-0.0573257066,-0.0573257066,-0.09244575820547574,-0.1316513414788122,-0.0862002579712138
2022-10-31,0.0131684708,0.0252632535,0.0255499483,0.0515075799,0.0636023626,0.0638890574,-0.0145406902,0.0131684708,0.0131684708,0.08127516697794479,0.06006753745427909,0.08937486564606778
2022-11-30,0.0315963513,0.0068681873,0.006760376,0.0302862746,0.0055581105,0.0054502993,0.0315963513,0.0315963513,0.0315963513,0.05559184847927123,0.06824853972960093,0.04456863555269075
2022-12-31,-0.0244346839,-0.0105548685,-0.010421576,-0.0264071699,-0.0217805648,-0.021736134,-0.0148804742,-0.0244346839,-0.0244346839,-0.057628312203272025,-0.07033483770156956,-0.035272881794667865
2023-01-31,0.0358110681,0.0028428109,0.0031955281,0.0310964599,0.0146123313,0.0147886899,0.0483893539,0.0483893539,0.0483893539,0.06288730283874155,0.1014724998124319,0.0549190619890611
2023-02-28,-0.0396434417,-0.0396434417,-0.0396434417,-0.043960715,-0.043960715,-0.043960715,-0.029211298,-0.029211298,-0.029211298,-0.025142810570443763,-0.03964344169321385,-0.04396071502061766
2023-03-31,0.0203322824,-0.0045825706,-0.0043706005,0.0372107453,0.0039909414,0.0042735681,0.0203322824,0.0203322824,0.0203322824,0.03707794399192643,-0.0005215965479553053,0.009913373405668696
2023-04-30,0.0091653527,0.005777517,0.0056141509,0.0075513671,0.00529281,0.0051838993,0.0005896581,0.0051151828,0.0061328464,0.015975074360873975,0.0005896581344300156,0.0112021566099674
2023-05-31,-0.0236233088,-0.0190895421,-0.0189743234,-0.0291231478,-0.0245893811,-0.0244741624,-0.0126358448,-0.0143833578,-0.0096623321,0.004616047311694738,-0.03094082739544965,-0.035431295439133315
2023-06-30,0.0138510425,0.0224305191,0.0224835736,0.0113156787,0.0198951552,0.0199482097,-0.0125526517,-0.0125526517,0.0072415245,0.0647997917538703,0.04665842673734022,0.048949153036964566
2023-07-31,0.0083486035,0.016131341,0.016282631,0.0032957099,0.0110784474,0.0112297374,0.0433838364,0.0284053126,0.0284053126,0.03273325825695461,0.043383836391504504,0.03277441697620054
2023-08-31,-0.0211308833,-0.0211308833,-0.0211308833,-0.0102198832,-0.0071508861,-0.0071648944,-0.005744554,-0.0042034056,-0.0042034056,-0.01625201272366572,-0.021130883285114893,-0.010330848022523015
2023-09-30,-0.0329532191,-0.0152638212,-0.0151093161,-0.0215444,-0.0038550021,-0.0037004969,-0.0329532191,-0.0329532191,-0.0329532191,-0.04743461303449359,-0.06347425347316907,-0.030391190162812304
2023-10-31,-0.0305211252,-0.0187277685,-0.0186781365,-0.0294478304,-0.0176544737,-0.0176048417,-0.0305211252,-0.0305211252,-0.0305211252,-0.02170844457519272,-0.05725943919268722,-0.03198610659562234
2023-11-30,0.0455446603,0.0046821054,0.0045576458,0.0455446603,0.0046821054,0.0045576458,0.0644304446,0.0644304446,0.0455446603,0.0913438546150167,0.13883558324233503,0.0655205604064727
2023-12-31,0.0360426884,0.0193189159,0.0193712946,0.0397057895,0.0146201307,0.0146986987,0.049328952,0.0393474362,0.0360426884,0.04565518517780798,0.04697798962885935,0.040859400683406655
2024-01-31,0.0047865195,0.0047865195,0.0047865195,-0.0098323772,-0.0098323772,-0.0098323772,0.0013384113,0.0013384113,0.0013384113,0.015926588159471455,0.0047865195042501585,-0.009832377214667565
2024-02-29,0.0431943978,0.0431943978,0.0431943978,0.0122509399,0.0185684845,0.0185748515,0.018119288,0.018119288,0.0431943978,0.05218676375735121,0.043194397814317165,0.025640048968767287
2024-03-31,0.0402843759,0.0402843759,0.0402843759,0.0146493213,0.0138416776,0.0138632259,0.0402843759,0.0351351804,0.0402843759,0.032701962325644374,0.040284375880286605,0.03903231749276548
2024-04-30,-0.0414566561,-0.0414566561,-0.0414566561,-0.0401211562,-0.0312162995,-0.0311995094,-0.0414566561,-0.044016429,-0.0414566561,-0.040319571262241616,-0.04145665605139537,-0.03464910065857951
2024-05-31,0.0435747429,0.0435747429,0.0435747429,0.0207902242,0.0140762465,0.0141728112,0.0435747429,0.0390985379,0.0435747429,0.050579537889341664,0.043574742938439215,0.022413363852787832
2024-06-30,0.0511853848,0.0511853848,0.0511853848,0.0125527451,0.0125527451,0.0125527451,0.0511853848,0.0402192394,0.0511853848,0.03528033861898572,0.05118538476515505,0.012552745089047523
2024-07-31,0.0251659997,0.0251659997,0.0251659997,0.0231635971,0.0109312521,0.010916247,0.0111365324,0.0251659997,0.0111365324,0.012109000174276519,0.025165999737432138,0.03179498079261567
2024-08-31,0.0480341808,0.0480341808,0.0480341808,0.0170810227,0.0148708751,0.0148959231,0.0480341808,0.0480341808,0.0480341808,0.023365738515666923,0.048034180775269164,0.014307768177514002
2024-09-30,0.0339255259,0.0339255259,0.0339255259,0.0093362145,0.0069355665,0.0069368847,0.0339255259,0.0339255259,0.0339255259,0.021004553657945513,0.033925525903969744,0.008738449632233941
2024-10-31,-0.008056649,-0.008056649,-0.008056649,-0.0221455594,-0.0126901424,-0.0126550405,-0.008056649,-0.008056649,-0.008056649,-0.008923647328876738,-0.008056649010842687,-0.011427731281887316
2024-11-30,0.0785075865,0.0785075865,0.0785075865,0.0306609363,0.0274099698,0.0275256817,0.0785075865,0.0785075865,0.0785075865,0.05963353502628643,0.0785075865287157,0.04930433939146367
2024-12-31,-0.0629968509,-0.0629968509,-0.0629968509,-0.0542399874,-0.0542399874,-0.0542399874,-0.0629968509,-0.0629968509,-0.0629968509,-0.02406006705359487,-0.06299685092707447,-0.05423998737758534
2025-01-31,0.0283147457,0.0269818332,0.0270262614,0.0113382531,0.0093388843,0.0094055266,0.04923415,0.04923415,0.037831689,0.02685634303853357,0.04923415002891557,0.016594697896934935
2025-02-28,-0.002493624,-0.002493624,-0.002493624,0.0200739707,0.0076942581,0.0077350291,-0.002493624,-0.002493624,-0.002493624,-0.0126947351807849,-0.0024936240029813372,0.018979480974222362
2025-03-31,-0.0289999831,-0.0289999831,-0.0289999831,-0.0113654247,-0.0114771945,-0.0114407232,-0.0092747117,-0.0289999831,-0.0289999831,-0.05571930509365142,-0.028999983094092435,-0.016224065825107464
2025-04-30,-0.0115125939,-0.0168818348,-0.0166972449,-0.0267232686,-0.0320925095,-0.0319079197,-0.0115125939,-0.0273271489,-0.0291191956,-0.008670276875496041,-0.027327148852436173,-0.043943355807619294
2025-05-31,-0.0123959728,0.0036319782,0.003537163,-0.0123959728,0.0036319782,0.003537163,0.0011023385,0.0363805239,0.0348000816,0.06284505165897136,0.036380523927623226,0.02028781790467102
2025-06-30,0.0367432396,0.0304072299,0.0304177522,0.0248610116,0.015356997,0.0153727804,0.0275477251,0.0312233181,0.0367432396,0.051386124993305415,0.03122331814351137,0.028925320526541953
2025-07-31,-0.0004580591,0.0066704971,0.0068141937,0.0013035435,0.0084320998,0.0085757964,-0.0034454818,-0.0034454818,-0.0034454818,0.023031548697107995,-0.011025822921605422,0.012267716727283884
2025-08-31,0.015800336,0.0126068552,0.0126314791,0.0270604374,0.0238669566,0.0238915805,0.0134029466,0.015800336,0.0127316845,0.02051958167671608,0.018384342851934743,0.02503480271384012
2025-09-30,0.01048187,0.0088776456,0.0088203234,0.0098814008,0.0090792886,0.0090506275,0.0119140144,0.008723077,0.008723077,0.03562033510828466,0.018657800238560868,0.013796955444567494
2025-10-31,0.0163210995,0.0136194352,0.0137294239,-0.0017739507,-0.0026745054,-0.0026378425,0.0085338297,0.0017886091,0.0017886091,0.02383739357630099,-0.004798522531197502,-0.0005460601724953662
2025-11-30,0.0048496653,0.0013468301,0.0013933986,0.0059528883,0.0024500531,0.0024966216,0.0179863761,0.0213935888,0.0204690425,0.0019500049129079766,0.01798637608208739,0.013648522829121157
2025-12-31,-0.0031750455,-0.0004341367,-0.0004090425,-0.0055386689,-0.0055386689,-0.0055386689,-0.0031750455,0.0014592666,-0.0059286523,0.0007975029584423865,-0.009204422067753015,-0.005538668875664621
2026-01-31,0.0211124791,0.023733945,0.0237010635,0.0402902644,0.0416009973,0.0415845566,0.0101855779,0.0211124791,0.0211124791,0.014737728839574471,0.04906550579336766,0.04738848018451458
2026-02-28,0.0537333581,0.0537333581,0.0537333581,0.0382874547,0.0382874547,0.0382874547,0.0537333581,0.0518234805,0.0537333581,-0.008641958340223965,0.053733358130875986,0.038287454652918884
2026-03-31,-0.0397956867,-0.0397956867,-0.0397956867,-0.0081698855,-0.0081698855,-0.0081698855,-0.0397956867,-0.0398937855,-0.0397956867,-0.04937956664344334,-0.03979568674500042,-0.008169885497415624
2026-04-30,0.027169498,0.0282676387,0.028300062,-0.0043419024,-0.0021456211,-0.0020807745,0.0600857327,0.0600857327,0.0572074957,0.10505268686597247,0.05720749569846156,0.04417804946592671
2026-05-31,0.0076360361,0.0084770748,0.0084257931,-0.0026082537,-0.001767215,-0.0018184967,0.0076360361,0.0125089418,0.0076360361,0.05262575303750272,0.012508941801256751,-0.0017908919527475642
