variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,wins,win_share,group
"set_[100, 200]__x100_0_200_1",0.0724629989921365,0.07306303828755346,0.08223495454429537,0.4962307331749834,0.8679669994144886,-0.09935867267925945,4.1092172539810266,1.4281913819104557,0.42819138191045575,0.0,0.0,strategy
"set_[100, 200, 250]__x100_0_200_1_250_1",0.0748304558842174,0.07573147796218066,0.08780636911177508,0.49035211814213314,0.8396163290073617,-0.1122858001587854,4.703413807804394,1.4450225927656104,0.4450225927656102,7.0,0.03723404255319149,strategy
"set_[100, 200, 250]__x100_0_200_1_250_0",0.06785927717314019,0.06802171590188329,0.07250607318305613,0.48732728036089723,0.9115963074206838,-0.09267053915376573,3.6075051545492998,1.3975238955437046,0.3975238955437046,8.0,0.0425531914893617,strategy
"set_[100, 200]__x100_1_200_1",0.08080414241476022,0.08251279794895976,0.10170067098957251,0.4823031254160959,0.7842447260348981,-0.1300622143100804,5.472575810924337,1.4892589443936246,0.48925894439362466,4.0,0.02127659574468085,strategy
"set_[100, 200, 250]__x100_1_200_1_250_0",0.07359049583536008,0.07432155567615414,0.08533584892400209,0.48093147498561994,0.8411631834780637,-0.1134112928616936,4.504100146312773,1.438099898139411,0.4380998981394113,4.0,0.02127659574468085,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.08031659787082508,0.08203131773645152,0.10110764502643162,0.4808483719584416,0.7850858449828835,-0.13380969399588158,5.615147434501472,1.4852883973812114,0.48528839738121143,2.0,0.010638297872340425,strategy
"set_[100, 150, 200]__x100_0_150_1_200_1",0.07456124985402346,0.07538936902645436,0.08841366446331184,0.47597853081719643,0.8221297721418779,-0.11584460650200552,4.944171587196358,1.4472271185605885,0.44722711856058844,5.0,0.026595744680851064,strategy
sma200_3in_1out,0.08139415842324435,0.08366527449871079,0.10786878313787791,0.46872087962177117,0.7527684123897828,-0.15071102697516003,6.352401681031451,1.4944610617760412,0.4944610617760412,1.0,0.005319148936170213,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.07999369298475492,0.08168920880072522,0.10242918311668589,0.46435251425961327,0.764022566701236,-0.13695673645645254,5.855814561587599,1.4881361106404787,0.4881361106404787,5.0,0.026595744680851064,strategy
sma100_3in_1out,0.07905437491250383,0.08136032139920873,0.10654954488975331,0.4495659394186348,0.7374493772239841,-0.13239397889152626,5.559976608247468,1.4784774126395168,0.4784774126395168,35.0,0.18617021276595744,strategy
"set_[100, 150, 200]__x100_0_150_0_200_1",0.06438677999392049,0.0648420644730049,0.0728259295304068,0.4459693478213921,0.8664292208443901,-0.08830574067586854,3.6149709671226007,1.3729847005998268,0.37298470059982686,0.0,0.0,strategy
"set_[100, 150, 200]__x100_1_150_0_200_1",0.06997219824766526,0.07114190424727576,0.08685831720517953,0.4400170901641863,0.7937177539386059,-0.10660448071757113,4.396504594368582,1.4121490274355233,0.41214902743552323,1.0,0.005319148936170213,strategy
"set_[100, 200, 250]__x100_1_200_0_250_1",0.06932292324496533,0.07038974371349892,0.08526935210974312,0.4383460268884448,0.7988615690430236,-0.11528264121135129,4.848498409563047,1.4082600295337888,0.4082600295337888,0.0,0.0,strategy
"set_[100, 200, 250]__x100_0_200_0_250_1",0.06358587049324822,0.06408990393922805,0.07301371271676901,0.4346121733446685,0.8561991425336808,-0.09318431356667607,3.8718834576936194,1.3689002636691003,0.3689002636691003,0.0,0.0,strategy
"set_[100, 150, 200]__x100_1_150_1_200_0",0.068983021950167,0.07004763477777262,0.08687303691943031,0.4188136894144589,0.7717618778792906,-0.1163955781888285,5.032918669841644,1.4104465946177094,0.4104465946177093,0.0,0.0,strategy
"set_[100, 200, 250]__x100_1_200_0_250_0",0.06227164940997661,0.06267998165320156,0.07117722919644795,0.4166375574151171,0.8498201804208497,-0.09303806164880378,3.777069484149859,1.361694436383648,0.36169443638364807,0.0,0.0,strategy
"set_[100, 150, 200]__x100_0_150_1_200_0",0.06329813062072011,0.06374779500350175,0.07380490087287815,0.4165847214818863,0.832507003743942,-0.09372626994658695,4.08952443606163,1.3704899578704919,0.370489957870492,23.0,0.12234042553191489,strategy
sma100_3in_0out,0.06156840713178312,0.06246080207639615,0.0767563140243318,0.4133992945207064,0.8110209560618001,-0.09689045627811747,4.091445774304809,1.3556258360494005,0.35562583604940046,4.0,0.02127659574468085,strategy
"set_[100, 200]__x100_1_200_0",0.06406687758757969,0.06505043691453086,0.08046499369955543,0.39981791354232,0.7809392326749495,-0.10400156704593602,4.491738436093472,1.3738286961289254,0.3738286961289255,5.0,0.026595744680851064,strategy
"set_[100, 200, 250]__x100_0_200_0_250_0",0.05629767304202663,0.05638014187893068,0.06006611819828683,0.39236764757863635,0.9115613168982868,-0.08009058265409219,3.006470053699129,1.3221254303248295,0.3221254303248296,1.0,0.005319148936170213,strategy
"set_[100, 150, 200]__x100_1_150_0_200_0",0.05874511560735419,0.05950033022432316,0.07258048014964744,0.3742757653356202,0.7949040110002946,-0.08676269483589158,3.712070659682299,1.3371382179541298,0.33713821795412974,0.0,0.0,strategy
"set_[100, 200]__x100_0_200_0",0.055173239410334245,0.055600677253124564,0.0646321282134581,0.3652833259384839,0.8454369940856468,-0.0831399419714303,3.1779045467520257,1.3149324746931916,0.3149324746931915,0.0,0.0,strategy
"set_[100, 150, 200]__x100_0_150_0_200_0",0.05291750727104688,0.0532004904500523,0.05994364006184851,0.3576304286283416,0.8682476665569279,-0.07364460385546641,3.0676353168007524,1.2990075297512467,0.2990075297512466,0.0,0.0,strategy
sma200_3in_0out,0.04728955259262723,0.04874055242985298,0.07561576881225048,0.2187128986201444,0.6234506742580339,-0.11604514716831375,4.92726104335987,1.2696603256097765,0.2696603256097764,11.0,0.05851063829787234,strategy
baseline_buyhold,0.11182780031664259,0.12340249117608026,0.19154471850815688,0.5316535174190569,0.6970962268559512,-0.3058344109535409,9.845957884282894,1.759433597904847,0.7594335979048468,,,baseline
